date,Brent_Price,WTI_Price,USDPrice
1/3/2007,58.31,56.63,83.92
1/4/2007,55.65,54.58,84.32
1/5/2007,56.29,52.82,84.63
1/6/2007,56.8,52.33,84.7
1/7/2007,56.52,52.63,84.64
1/8/2007,56.08,52.82,84.6
1/9/2007,55.65,52.38,84.74
1/10/2007,53.95,52.11,85.08
1/11/2007,51.91,51.68,85.31
1/12/2007,52.96,49.95,85.03
1/13/2007,53.09,49.23,84.86
1/14/2007,52,49.67,84.89
1/15/2007,50.96,50.58,85
1/16/2007,51.23,51.28,85.05
1/17/2007,52.3,51.19,84.98
1/18/2007,50.51,50.83,84.91
1/19/2007,51.98,52.29,84.86
1/20/2007,52.03,53.74,85
1/21/2007,50.9,54.46,85.15
1/22/2007,51.11,54.34,85.02
